status,reason,category,subcategory,prefab_name,prefab_path,canonical_path,width,height,depth
"placed","","Other","Other","SFFA_Bar_Stand (1)","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Stand/SFFA_Bar_Stand (1).prefab","",0.399,0.131,0.471
"placed","","Other","Other","SFFA_Bar_Stand (2)","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Stand/SFFA_Bar_Stand (2).prefab","",0.399,0.131,0.471
"placed","","Other","Other","SFFA_Bar_Stand 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Stand/SFFA_Bar_Stand 1.prefab","",0.399,0.131,0.471
"placed","","Other","Other","SFFA_Bar_Stand","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Bars and Rods/Stand/SFFA_Bar_Stand.prefab","",0.399,0.131,0.471
"placed","","Furniture","Furniture","SFFA_Blacksmith_Table","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blacksmith Table/SFFA_Blacksmith_Table.prefab","",1.134,1.355,2.3
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_001 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_001 1.prefab","",0.012,0.918,0.19
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_001.prefab","",0.012,0.918,0.19
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_002 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_002 1.prefab","",0.009,0.775,0.227
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_002.prefab","",0.009,0.775,0.227
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_003 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_003 1.prefab","",0.014,0.97,0.202
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_003.prefab","",0.014,0.97,0.202
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_004 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_004 1.prefab","",0.014,0.859,0.099
"placed","","LightsFX","LightsFX","SFFA_Blade_Glow_004","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Glow_004.prefab","",0.014,0.859,0.099
"placed","","Other","Other","SFFA_Blade_Gold_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Gold_001.prefab","",0.012,0.918,0.19
"placed","","Other","Other","SFFA_Blade_Gold_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Gold_002.prefab","",0.009,0.775,0.227
"placed","","Other","Other","SFFA_Blade_Gold_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Gold_003.prefab","",0.014,0.97,0.202
"placed","","Other","Other","SFFA_Blade_Gold_004","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Gold_004.prefab","",0.014,0.859,0.099
"placed","","Other","Other","SFFA_Blade_Iron_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Iron_001.prefab","",0.012,0.918,0.19
"placed","","Other","Other","SFFA_Blade_Iron_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Iron_002.prefab","",0.009,0.775,0.227
"placed","","Other","Other","SFFA_Blade_Iron_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Iron_003.prefab","",0.014,0.97,0.202
"placed","","Other","Other","SFFA_Blade_Iron_004","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blades/SFFA_Blade_Iron_004.prefab","",0.014,0.859,0.099
"placed","","Other","Other","SFFA_Blower","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Blower/SFFA_Blower.prefab","",0.339,0.541,1.228
"placed","","Other","Other","SFFA_Book_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/SFFA_Book_001.prefab","",0.183,0.246,0.05
"placed","","Other","Other","SFFA_Book_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/SFFA_Book_002.prefab","",0.183,0.246,0.05
"placed","","Other","Other","SFFA_Book_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/SFFA_Book_003.prefab","",0.183,0.246,0.05
"placed","","Other","Other","SFFA_Book_004","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/SFFA_Book_004.prefab","",0.183,0.246,0.05
"placed","","Other","Other","SFFA_Book_005","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/SFFA_Book_005.prefab","",0.183,0.246,0.05
"placed","","Other","Other","SFFA_Book_006","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/SFFA_Book_006.prefab","",0.183,0.246,0.05
"placed","","Other","Other","SFFA_Book_003 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/Stacks/SFFA_Book_003 1.prefab","",0.186,0.249,0.18
"placed","","Other","Other","SFFA_Book_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/Stacks/SFFA_Book_003.prefab","",0.194,0.246,0.144
"placed","","Other","Other","SFFA_Book_004","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/Stacks/SFFA_Book_004.prefab","",0.183,0.248,0.111
"placed","","Other","Other","SFFA_Book_006 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/Stacks/SFFA_Book_006 1.prefab","",0.197,0.246,0.189
"placed","","Other","Other","SFFA_Book_006","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Books/Stacks/SFFA_Book_006.prefab","",0.183,0.249,0.179
"placed","","Props","Crates","SFFA_Box","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Box/Individual Parts/SFFA_Box.prefab","",0.811,0.752,0.8
"placed","","Props","Crates","SFFA_Box_Lid","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Box/Individual Parts/SFFA_Box_Lid.prefab","",0.598,0.017,0.598
"placed","","Props","Crates","SFFA_Box 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Box/SFFA_Box 1.prefab","",0.811,0.752,0.8
"placed","","Props","PropsOther","SFFA_Bucket_Empty_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/Individual Parts/SFFA_Bucket_Empty_002.prefab","",0.321,0.31,0.319
"placed","","Props","PropsOther","SFFA_Bucket_Hanger","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/Individual Parts/SFFA_Bucket_Hanger.prefab","",0.026,0.259,0.348
"placed","","Props","PropsOther","SFFA_Bucket_Water_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/Individual Parts/SFFA_Bucket_Water_002.prefab","",0.321,0.31,0.319
"placed","","Props","PropsOther","SFFA_Bucket_Empty_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/SFFA_Bucket_Empty_001.prefab","",0.528,0.645,0.531
"placed","","Props","PropsOther","SFFA_Bucket_Empty_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/SFFA_Bucket_Empty_002.prefab","",0.321,0.31,0.348
"placed","","Props","PropsOther","SFFA_Bucket_Empty_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/SFFA_Bucket_Empty_003.prefab","",0.379,0.227,1.108
"placed","","Props","PropsOther","SFFA_Bucket_Water_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/SFFA_Bucket_Water_001.prefab","",0.528,0.645,0.531
"placed","","Props","PropsOther","SFFA_Bucket_Water_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/SFFA_Bucket_Water_002.prefab","",0.321,0.31,0.348
"placed","","Props","PropsOther","SFFA_Bucket_Water_003","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Buckets/SFFA_Bucket_Water_003.prefab","",0.379,0.227,1.108
"placed","","Buildings","Buildings","SFFA_Building_Chemney","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Attachables/SFFA_Building_Chemney.prefab","",1.552,5.571,1.79
"placed","","Buildings","Buildings","SFFA_Building_ExteriorAttachable","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Attachables/SFFA_Building_ExteriorAttachable.prefab","",5.9,4.464,5.643
"placed","","Buildings","Buildings","SFFA_Building_RoofSupport","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Attachables/SFFA_Building_RoofSupport.prefab","",11.326,0.473,0.487
"placed","","Buildings","Buildings","SFFA_Building_Empty 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Building Empty/SFFA_Building_Empty 1.prefab","",22.335,15.851,18.811
"placed","","Buildings","Buildings","SFFA_Building_Empty","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Building Empty/SFFA_Building_Empty.prefab","",22.335,15.851,18.811
"placed","","Buildings","Buildings","SFFA_Building - Copy","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Building/SFFA_Building - Copy.prefab","",22.335,15.868,18.811
"placed","","Buildings","Buildings","SFFA_Building","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Building/SFFA_Building.prefab","",22.335,15.868,18.811
"placed","","Buildings","Buildings","SFFA_Door_L","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Doors/SFFA_Door_L.prefab","",0.355,2.309,0.688
"placed","","Buildings","Buildings","SFFA_Door_R","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Doors/SFFA_Door_R.prefab","",0.355,2.309,0.688
"placed","","Buildings","Buildings","SFFA_Building_Sign","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Sign/Individual Parts/SFFA_Building_Sign.prefab","",0.881,0.968,0.127
"placed","","Buildings","Buildings","SFFA_Building_SignSupport","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Sign/Individual Parts/SFFA_Building_SignSupport.prefab","",1.481,1.016,0.237
"placed","","Buildings","Buildings","SFFA_SFT_Chain","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Sign/Individual Parts/SFFA_SFT_Chain.prefab","",0.043,0.41,0.043
"placed","","Buildings","Buildings","SFFA_Building_SignSupport - Copy","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Building/Sign/SFFA_Building_SignSupport - Copy.prefab","",1.481,1.562,0.237
"placed","","Other","Other","SFFA_Cannon","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Cannon/Individual Parts/SFFA_Cannon.prefab","",0.323,0.332,0.595
"placed","","Other","Other","SFFA_Cannon_Base","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Cannon/Individual Parts/SFFA_Cannon_Base.prefab","",0.443,0.364,0.541
"placed","","Other","Other","SFFA_Cannon_Base","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Cannon/SFFA_Cannon_Base.prefab","",0.659,0.552,0.702
"placed","","Other","Other","SFFA_Cannon_Projectile 1","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Cannon/SFFA_Cannon_Projectile 1.prefab","",0.49,0.394,0.505
"placed","","Other","Other","SFFA_Cannon_Projectile 2","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Cannon/SFFA_Cannon_Projectile 2.prefab","",0.336,0.299,0.316
"placed","","Other","Other","SFFA_Cannon_Projectile","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Cannon/SFFA_Cannon_Projectile.prefab","",0.164,0.172,0.172
"placed","","Other","Other","SFFA_Hook","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Chains/Hook/SFFA_Hook.prefab","",0.022,0.33,0.145
"placed","","Other","Other","SFFA_Chain_001","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Chains/SFFA_Chain_001.prefab","",3.342,1.048,0.13
"placed","","Other","Other","SFFA_Chain_002","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Chains/SFFA_Chain_002.prefab","",0.124,1.589,0.124
"placed","","Props","PropsOther","SFFA_Chest","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Chest/Individual Parts/SFFA_Chest.prefab","",0.518,0.322,0.535
"placed","","Props","PropsOther","SFFA_Chest_Lid","Assets/Daniel Mistage/STYLIZED Low Poly Fantasy Bundle/STYLIZED Fantasy Forge & Armory - Low Poly 3D Art/Prefabs/Chest/Individual Parts/SFFA_Chest_Lid.prefab","",0.527,0.379,0.688
